gene_id	module_id	wgcna_numeric_label	wgcna_color	assigned_kme
ENSRNOG00000019316	M003	3	brown	0.688310686840545
ENSRNOG00000019352	M003	3	brown	0.898596921994849
ENSRNOG00000019365	M006	6	red	0.827881659029843
ENSRNOG00000019400	M004	4	yellow	0.941209338264791
ENSRNOG00000019422	M005	5	green	0.431319402899772
ENSRNOG00000019470	M002	2	blue	0.771147224788001
ENSRNOG00000019630	M001	1	turquoise	0.796221785778952
ENSRNOG00000019716	M002	2	blue	0.408556487001031
ENSRNOG00000019834	M001	1	turquoise	0.75964876407102
ENSRNOG00000019892	M006	6	red	0.865329925712879
ENSRNOG00000020029	M003	3	brown	0.886841263342063
ENSRNOG00000020035	M001	1	turquoise	0.799364669983337
ENSRNOG00000020056	M001	1	turquoise	0.570260864360308
ENSRNOG00000020194	M002	2	blue	0.806554413153632
ENSRNOG00000020272	M002	2	blue	0.7637765303041
ENSRNOG00000020288	M001	1	turquoise	0.974306782197799
ENSRNOG00000020308	M001	1	turquoise	0.960060459473515
ENSRNOG00000020345	M005	5	green	0.896714451526577
ENSRNOG00000020420	M002	2	blue	0.818310475020966
ENSRNOG00000020440	M001	1	turquoise	0.918371080269605
ENSRNOG00000020546	M004	4	yellow	0.819349871520755
ENSRNOG00000020624	M007	7	black	0.676120376559571
ENSRNOG00000020918	M005	5	green	0.786878717946888
ENSRNOG00000020990	M005	5	green	0.644310389634957
ENSRNOG00000021130	M002	2	blue	0.70994849134752
ENSRNOG00000021201	M005	5	green	0.865765650744546
ENSRNOG00000021403	M006	6	red	0.706326477818381
ENSRNOG00000021882	grey	0	grey	
ENSRNOG00000022054	M005	5	green	0.645726473565189
ENSRNOG00000022268	grey	0	grey	
ENSRNOG00000022615	M005	5	green	0.896457565111417
ENSRNOG00000022686	M001	1	turquoise	0.887858991016518
ENSRNOG00000022860	M001	1	turquoise	0.767298023748053
ENSRNOG00000022921	M006	6	red	0.887344235789625
ENSRNOG00000023410	M006	6	red	0.797341061232827
ENSRNOG00000023546	M001	1	turquoise	0.895853914282012
ENSRNOG00000024115	M002	2	blue	0.718295911315328
ENSRNOG00000024128	M001	1	turquoise	0.933937231641851
ENSRNOG00000024629	M001	1	turquoise	0.985250331436726
ENSRNOG00000024733	M001	1	turquoise	0.633881948144145
ENSRNOG00000024839	M001	1	turquoise	0.777428397199471
ENSRNOG00000025418	M002	2	blue	0.80057470649704
ENSRNOG00000025430	M004	4	yellow	0.668592647987974
ENSRNOG00000025689	M001	1	turquoise	0.975556817683886
ENSRNOG00000027024	M003	3	brown	0.407357884683896
ENSRNOG00000027434	M005	5	green	0.802932382687297
ENSRNOG00000027888	M001	1	turquoise	0.88337306937119
ENSRNOG00000028047	M001	1	turquoise	0.845295466182816
ENSRNOG00000028113	M005	5	green	0.901487809158752
ENSRNOG00000028356	M001	1	turquoise	0.852995317968287
ENSRNOG00000028711	M001	1	turquoise	0.872515551813099
ENSRNOG00000029571	M002	2	blue	0.941139569502299
ENSRNOG00000029651	grey	0	grey	
ENSRNOG00000029862	M001	1	turquoise	0.629270061860585
